Ca B      1800.97A   -0.057    0.0054
#
O  8      1840.29A   -0.624    0.0015
Ca B      1840.29A   -0.624    0.0015
#
O  8      1897.32A   -0.557    0.0017
Ca B      1897.32A   -0.557    0.0017
#
O  8      1930.89A    1.436    0.1683
Ca B      1930.89A    1.436    0.1683
#
O  8      1933.27A    0.502    0.0196
Ca B      1933.27A    0.502    0.0196
#
O  8      1964.47A    0.043    0.0068
Ca B      1964.47A    0.043    0.0068
#
O  8      1968.20A   -0.486    0.0020
Ca B      1968.20A   -0.486    0.0020
#
O  8      2175.21A   -0.330    0.0029
Ca B      2175.21A   -0.330    0.0029
#
O  8      2179.02A   -0.898    0.0008
Ca B      2179.02A   -0.898    0.0008
#
O  8      2212.87A    0.152    0.0087
Ca B      2212.87A    0.152    0.0087
#
O  8      2231.76A   -0.840    0.0009
Ca B      2231.76A   -0.840    0.0009
#
O  8      2295.05A   -0.779    0.0010
Ca B      2295.05A   -0.779    0.0010
#
O  8      2334.45A   -0.244    0.0035
Ca B      2334.45A   -0.244    0.0035
#
O  8      2372.15A   -0.715    0.0012
Ca B      2372.15A   -0.715    0.0012
#
O  8      2467.81A   -0.648    0.0014
Ca B      2467.81A   -0.648    0.0014
#
O  8      2529.00A    0.649    0.0275
Ca B      2529.00A    0.649    0.0275
#
O  8      2560.61A   -0.151    0.0044
Ca B      2560.61A   -0.151    0.0044
#
O  8      2589.12A   -0.576    0.0016
Ca B      2589.12A   -0.576    0.0016
#
O  8      2633.78A    0.272    0.0115
Ca B      2633.78A    0.272    0.0115
#
O  8      2731.33A   -0.984    0.0006
Ca B      2731.33A   -0.984    0.0006
#
O  8      2747.31A   -0.500    0.0019
Ca B      2747.31A   -0.500    0.0019
#
O  8      2814.69A   -0.926    0.0007
Ca B      2814.69A   -0.926    0.0007
#
O  8      2916.11A   -0.865    0.0008
Ca B      2916.11A   -0.865    0.0008
#
O  8      2961.07A   -0.419    0.0023
Ca B      2961.07A   -0.419    0.0023
#
O  8      3041.72A   -0.800    0.0010
Ca B      3041.72A   -0.800    0.0010
#
O  8      3264.13A   -0.333    0.0029
Ca B      3264.13A   -0.333    0.0029
#
O  8      3402.45A   -1.065    0.0005
Ca B      3402.45A   -1.065    0.0005
#
O  8      3407.90A   -0.661    0.0013
Ca B      3407.90A   -0.661    0.0013
#
O  8      3484.29A    0.058    0.0070
Ca B      3484.29A    0.058    0.0070
#
O  8      3485.68A    0.402    0.0155
Ca B      3485.68A    0.402    0.0155
#
O  8      3532.78A   -1.007    0.0006
Ca B      3532.78A   -1.007    0.0006
#
O  8      3694.02A   -0.946    0.0007
Ca B      3694.02A   -0.946    0.0007
#
O  8      3724.02A   -0.240    0.0035
Ca B      3724.02A   -0.240    0.0035
#
O  8      3897.94A   -0.881    0.0008
Ca B      3897.94A   -0.881    0.0008
#
O  8      4082.92A   -0.504    0.0019
Ca B      4082.92A   -0.504    0.0019
#
O  8      4163.07A   -0.813    0.0009
Ca B      4163.07A   -0.813    0.0009
#
O  8      4226.43A   -1.142    0.0004
