Ca B      9.11176m   -4.360    0.0004
#
He 2      9.27140m   -4.619    0.0002
Ca B      9.27140m   -4.619    0.0002
#
He 2      9.57790m   -5.129    0.0001
Ca B      9.57790m   -5.129    0.0001
#
He 2      9.70450m   -4.076    0.0007
Ca B      9.70450m   -4.076    0.0007
#
He 2      9.71122m   -3.516    0.0025
Ca B      9.71122m   -3.516    0.0025
#
He 2      9.76835m   -4.854    0.0001
Ca B      9.76835m   -4.854    0.0001
#
He 2      10.4643m   -5.070    0.0001
Ca B      10.4643m   -5.070    0.0001
#
He 2      10.4967m   -5.323    0.0000
Ca B      10.4967m   -5.323    0.0000
#
He 2      11.2999m   -5.270    0.0000
Ca B      11.2999m   -5.270    0.0000
#
He 2      11.3014m   -4.788    0.0001
Ca B      11.3014m   -4.788    0.0001
#
He 2      11.3279m   -4.547    0.0002
Ca B      11.3279m   -4.547    0.0002
#
He 2      11.7151m   -5.010    0.0001
Ca B      11.7151m   -5.010    0.0001
#
He 2      12.3640m   -4.285    0.0004
Ca B      12.3640m   -4.285    0.0004
#
He 2      12.3792m   -5.214    0.0001
Ca B      12.3792m   -5.214    0.0001
#
He 2      13.1253m   -3.776    0.0014
Ca B      13.1253m   -3.776    0.0014
#
He 2      13.2124m   -5.403    0.0000
Ca B      13.2124m   -5.403    0.0000
#
He 2      13.6048m   -4.948    0.0001
Ca B      13.6048m   -4.948    0.0001
#
He 2      13.8744m   -4.722    0.0002
Ca B      13.8744m   -4.722    0.0002
#
He 2      13.9011m   -5.156    0.0001
Ca B      13.9011m   -5.156    0.0001
#
He 2      14.5106m   -5.350    0.0000
Ca B      14.5106m   -5.350    0.0000
#
He 2      15.4676m   -4.478    0.0003
Ca B      15.4676m   -4.478    0.0003
#
He 2      16.1987m   -5.098    0.0001
Ca B      16.1987m   -5.098    0.0001
#
He 2      16.3400m   -5.295    0.0000
Ca B      16.3400m   -5.295    0.0000
#
He 2      16.7739m   -4.885    0.0001
Ca B      16.7739m   -4.885    0.0001
#
He 2      16.8698m   -5.479    0.0000
Ca B      16.8698m   -5.479    0.0000
#
He 2      17.2569m   -4.013    0.0008
Ca B      17.2569m   -4.013    0.0008
#
He 2      19.0453m   -5.427    0.0000
Ca B      19.0453m   -5.427    0.0000
#
He 2      19.0496m   -4.658    0.0002
Ca B      19.0496m   -4.658    0.0002
#
He 2      19.1001m   -5.240    0.0000
Ca B      19.1001m   -5.240    0.0000
#
He 2      20.0493m   -5.039    0.0001
Ca B      20.0493m   -5.039    0.0001
#
He 2      22.0310m   -5.553    0.0000
Ca B      22.0310m   -5.553    0.0000
#
He 2      22.1744m   -4.230    0.0005
Ca B      22.1744m   -4.230    0.0005
#
He 2      22.3261m   -5.374    0.0000
Ca B      22.3261m   -5.374    0.0000
#
He 2      23.1442m   -4.826    0.0001
Ca B      23.1442m   -4.826    0.0001
#
